sample,taxon,expected,mixture_type,num_species
D7P1,Diuraphis_noxia,0.00990099,DNA,16
D7P1,Drosophila_hydeii,0.00990099,DNA,16
D7P1,Drosophila_melanogaster,0.247524752,DNA,16
D7P1,Drosophila_simulans,0.00990099,DNA,16
D7P1,Lysiphlebus_testaceipes,0.00990099,DNA,16
D7P1,Metopolophium_dirhodum,0.00990099,DNA,16
D7P1,Psyllid_sp,0.00990099,DNA,16
D7P1,Rhopalosiphum_padi,0.00990099,DNA,16
D7P1,Scaptodrosophila_lativittata,0.00990099,DNA,16
PCRpool7P1,Acizzia_alternata,0.00990099,PCR,16
PCRpool7P1,Acizzia_solanicola,0.495049505,PCR,16
PCRpool7P1,Aphidius_colemani,0.089108911,PCR,16
PCRpool7P1,Bactrocera_tryoni,0.00990099,PCR,16
PCRpool7P1,Bradysia_ocellaris,0.00990099,PCR,16
PCRpool7P1,Carpophilus_davidsoni,0.04950495,PCR,16
PCRpool7P1,Carpophilus_dimidiatus,0.00990099,PCR,16
PCRpool7P1,Diuraphis_noxia,0.00990099,PCR,16
PCRpool7P1,Drosophila_hydeii,0.00990099,PCR,16
PCRpool7P1,Drosophila_melanogaster,0.247524752,PCR,16
PCRpool7P1,Drosophila_simulans,0.00990099,PCR,16
PCRpool7P1,Lysiphlebus_testaceipes,0.00990099,PCR,16
PCRpool7P1,Metopolophium_dirhodum,0.00990099,PCR,16
PCRpool7P1,Psyllid_sp,0.00990099,PCR,16
PCRpool7P1,Rhopalosiphum_padi,0.00990099,PCR,16
PCRpool7P1,Scaptodrosophila_lativittata,0.00990099,PCR,16
I8P1,Acizzia_alternata,0.01,Insects,15
I8P1,Acizzia_solanicola,0.05,Insects,15
I8P1,Aphidius_colemani,0.2,Insects,15
I8P1,Bactrocera_tryoni,0.01,Insects,15
I8P1,Carpophilus_davidsoni,0.1,Insects,15
I8P1,Carpophilus_dimidiatus,0.01,Insects,15
I8P1,Diuraphis_noxia,0.01,Insects,15
I8P1,Drosophila_hydeii,0.01,Insects,15
I8P1,Drosophila_melanogaster,0.5,Insects,15
I8P1,Drosophila_simulans,0.01,Insects,15
I8P1,Lysiphlebus_testaceipes,0.05,Insects,15
I8P1,Metopolophium_dirhodum,0.01,Insects,15
I8P1,Psyllid_sp,0.01,Insects,15
I8P1,Rhopalosiphum_padi,0.01,Insects,15
I8P1,Scaptodrosophila_lativittata,0.01,Insects,15
D8P1,Acizzia_alternata,0.01,DNA,15
D8P1,Acizzia_solanicola,0.05,DNA,15
D8P1,Aphidius_colemani,0.2,DNA,15
D8P1,Bactrocera_tryoni,0.01,DNA,15
D8P1,Carpophilus_davidsoni,0.1,DNA,15
D8P1,Carpophilus_dimidiatus,0.01,DNA,15
D8P1,Diuraphis_noxia,0.01,DNA,15
D8P1,Drosophila_hydeii,0.01,DNA,15
D8P1,Drosophila_melanogaster,0.5,DNA,15
D8P1,Drosophila_simulans,0.01,DNA,15
D8P1,Lysiphlebus_testaceipes,0.05,DNA,15
D8P1,Metopolophium_dirhodum,0.01,DNA,15
D8P1,Psyllid_sp,0.01,DNA,15
D8P1,Rhopalosiphum_padi,0.01,DNA,15
D8P1,Scaptodrosophila_lativittata,0.01,DNA,15
PCRpool8P1,Acizzia_alternata,0.01,PCR,15
PCRpool8P1,Acizzia_solanicola,0.05,PCR,15
PCRpool8P1,Aphidius_colemani,0.2,PCR,15
PCRpool8P1,Bactrocera_tryoni,0.01,PCR,15
PCRpool8P1,Carpophilus_davidsoni,0.1,PCR,15
PCRpool8P1,Carpophilus_dimidiatus,0.01,PCR,15
PCRpool8P1,Diuraphis_noxia,0.01,PCR,15
PCRpool8P1,Drosophila_hydeii,0.01,PCR,15
PCRpool8P1,Drosophila_melanogaster,0.5,PCR,15
PCRpool8P1,Drosophila_simulans,0.01,PCR,15
PCRpool8P1,Lysiphlebus_testaceipes,0.05,PCR,15
PCRpool8P1,Metopolophium_dirhodum,0.01,PCR,15
PCRpool8P1,Psyllid_sp,0.01,PCR,15
PCRpool8P1,Rhopalosiphum_padi,0.01,PCR,15
PCRpool8P1,Scaptodrosophila_lativittata,0.01,PCR,15
I1P2,Acizzia_alternata,0.01,Insects,15
I1P2,Acizzia_solanicola,0.1,Insects,15
I1P2,Aphidius_colemani,0.36,Insects,15
I1P2,Bactrocera_tryoni,0.01,Insects,15
I1P2,Carpophilus_davidsoni,0.25,Insects,15
I1P2,Carpophilus_dimidiatus,0.01,Insects,15
I1P2,Diuraphis_noxia,0.01,Insects,15
I1P2,Drosophila_hydeii,0.01,Insects,15
I1P2,Drosophila_melanogaster,0.05,Insects,15
I1P2,Drosophila_simulans,0.01,Insects,15
I1P2,Lysiphlebus_testaceipes,0.14,Insects,15
I1P2,Metopolophium_dirhodum,0.01,Insects,15
I1P2,Psyllid_sp,0.01,Insects,15
I1P2,Rhopalosiphum_padi,0.01,Insects,15
I1P2,Scaptodrosophila_lativittata,0.01,Insects,15
D1P2,Acizzia_alternata,0.01,DNA,15
D1P2,Acizzia_solanicola,0.1,DNA,15
D1P2,Aphidius_colemani,0.36,DNA,15
D1P2,Bactrocera_tryoni,0.01,DNA,15
D1P2,Carpophilus_davidsoni,0.25,DNA,15
D1P2,Carpophilus_dimidiatus,0.01,DNA,15
D1P2,Diuraphis_noxia,0.01,DNA,15
D1P2,Drosophila_hydeii,0.01,DNA,15
D1P2,Drosophila_melanogaster,0.05,DNA,15
D1P2,Drosophila_simulans,0.01,DNA,15
D1P2,Lysiphlebus_testaceipes,0.14,DNA,15
D1P2,Metopolophium_dirhodum,0.01,DNA,15
D1P2,Psyllid_sp,0.01,DNA,15
D1P2,Rhopalosiphum_padi,0.01,DNA,15
D1P2,Scaptodrosophila_lativittata,0.01,DNA,15
PCRpool1P2,Acizzia_alternata,0.01,PCR,15
PCRpool1P2,Acizzia_solanicola,0.1,PCR,15
PCRpool1P2,Aphidius_colemani,0.36,PCR,15
PCRpool1P2,Bactrocera_tryoni,0.01,PCR,15
PCRpool1P2,Carpophilus_davidsoni,0.25,PCR,15
PCRpool1P2,Carpophilus_dimidiatus,0.01,PCR,15
PCRpool1P2,Diuraphis_noxia,0.01,PCR,15
PCRpool1P2,Drosophila_hydeii,0.01,PCR,15
PCRpool1P2,Drosophila_melanogaster,0.05,PCR,15
PCRpool1P2,Drosophila_simulans,0.01,PCR,15
PCRpool1P2,Lysiphlebus_testaceipes,0.14,PCR,15
PCRpool1P2,Metopolophium_dirhodum,0.01,PCR,15
PCRpool1P2,Psyllid_sp,0.01,PCR,15
PCRpool1P2,Rhopalosiphum_padi,0.01,PCR,15
PCRpool1P2,Scaptodrosophila_lativittata,0.01,PCR,15
I2P2,Acizzia_alternata,0.01,Insects,14
I2P2,Acizzia_solanicola,0.25,Insects,14
I2P2,Aphidius_colemani,0.05,Insects,14
I2P2,Bactrocera_tryoni,0.01,Insects,14
I2P2,Carpophilus_davidsoni,0.5,Insects,14
I2P2,Carpophilus_dimidiatus,0.01,Insects,14
I2P2,Diuraphis_noxia,0.01,Insects,14
I2P2,Drosophila_hydeii,0.01,Insects,14
I2P2,Drosophila_melanogaster,0.1,Insects,14
I2P2,Drosophila_simulans,0.01,Insects,14
I2P2,Metopolophium_dirhodum,0.01,Insects,14
I2P2,Psyllid_sp,0.01,Insects,14
I2P2,Rhopalosiphum_padi,0.01,Insects,14
I2P2,Scaptodrosophila_lativittata,0.01,Insects,14
D2P2,Acizzia_alternata,0.01,DNA,14
D2P2,Acizzia_solanicola,0.25,DNA,14
D2P2,Aphidius_colemani,0.05,DNA,14
D2P2,Bactrocera_tryoni,0.01,DNA,14
D2P2,Carpophilus_davidsoni,0.5,DNA,14
D2P2,Carpophilus_dimidiatus,0.01,DNA,14
D2P2,Diuraphis_noxia,0.01,DNA,14
D2P2,Drosophila_hydeii,0.01,DNA,14
D2P2,Drosophila_melanogaster,0.1,DNA,14
D2P2,Drosophila_simulans,0.01,DNA,14
D2P2,Metopolophium_dirhodum,0.01,DNA,14
D2P2,Psyllid_sp,0.01,DNA,14
D2P2,Rhopalosiphum_padi,0.01,DNA,14
D2P2,Scaptodrosophila_lativittata,0.01,DNA,14
PCRpool2P2,Acizzia_alternata,0.01,PCR,14
PCRpool2P2,Acizzia_solanicola,0.25,PCR,14
PCRpool2P2,Aphidius_colemani,0.05,PCR,14
PCRpool2P2,Bactrocera_tryoni,0.01,PCR,14
PCRpool2P2,Carpophilus_davidsoni,0.5,PCR,14
PCRpool2P2,Carpophilus_dimidiatus,0.01,PCR,14
PCRpool2P2,Diuraphis_noxia,0.01,PCR,14
PCRpool2P2,Drosophila_hydeii,0.01,PCR,14
PCRpool2P2,Drosophila_melanogaster,0.1,PCR,14
PCRpool2P2,Drosophila_simulans,0.01,PCR,14
PCRpool2P2,Metopolophium_dirhodum,0.01,PCR,14
PCRpool2P2,Psyllid_sp,0.01,PCR,14
PCRpool2P2,Rhopalosiphum_padi,0.01,PCR,14
PCRpool2P2,Scaptodrosophila_lativittata,0.01,PCR,14
I3P2,Acizzia_alternata,0.01,Insects,15
I3P2,Acizzia_solanicola,0.5,Insects,15
I3P2,Aphidius_colemani,0.06,Insects,15
I3P2,Bactrocera_tryoni,0.01,Insects,15
I3P2,Carpophilus_davidsoni,0.05,Insects,15
I3P2,Carpophilus_dimidiatus,0.01,Insects,15
I3P2,Diuraphis_noxia,0.01,Insects,15
I3P2,Drosophila_hydeii,0.01,Insects,15
I3P2,Drosophila_melanogaster,0.25,Insects,15
I3P2,Drosophila_simulans,0.01,Insects,15
I3P2,Lysiphlebus_testaceipes,0.04,Insects,15
I3P2,Metopolophium_dirhodum,0.01,Insects,15
I3P2,Psyllid_sp,0.01,Insects,15
I3P2,Rhopalosiphum_padi,0.01,Insects,15
I3P2,Scaptodrosophila_lativittata,0.01,Insects,15
D3P2,Acizzia_alternata,0.01,DNA,15
D3P2,Acizzia_solanicola,0.5,DNA,15
D3P2,Aphidius_colemani,0.06,DNA,15
D3P2,Bactrocera_tryoni,0.01,DNA,15
D3P2,Carpophilus_davidsoni,0.05,DNA,15
D3P2,Carpophilus_dimidiatus,0.01,DNA,15
D3P2,Diuraphis_noxia,0.01,DNA,15
D3P2,Drosophila_hydeii,0.01,DNA,15
D3P2,Drosophila_melanogaster,0.25,DNA,15
D3P2,Drosophila_simulans,0.01,DNA,15
D3P2,Lysiphlebus_testaceipes,0.04,DNA,15
D3P2,Metopolophium_dirhodum,0.01,DNA,15
D3P2,Psyllid_sp,0.01,DNA,15
D3P2,Rhopalosiphum_padi,0.01,DNA,15
D3P2,Scaptodrosophila_lativittata,0.01,DNA,15
PCRpool3P2,Acizzia_alternata,0.01,PCR,15
PCRpool3P2,Acizzia_solanicola,0.5,PCR,15
PCRpool3P2,Aphidius_colemani,0.06,PCR,15
PCRpool3P2,Bactrocera_tryoni,0.01,PCR,15
PCRpool3P2,Carpophilus_davidsoni,0.05,PCR,15
PCRpool3P2,Carpophilus_dimidiatus,0.01,PCR,15
PCRpool3P2,Diuraphis_noxia,0.01,PCR,15
PCRpool3P2,Drosophila_hydeii,0.01,PCR,15
